experiment,commit,seed,hardware,rust_version,n_concepts,train_examples,unseen_examples,ood_examples,encoder_type,encoder_frozen,field_trainable,dynamics_trainable,cdt_enabled,rqm_enabled,decoder_type,mode,accuracy_seen,accuracy_unseen,accuracy_ood,energy_initial,energy_final,energy_delta,top1,top2,margin,abstentions,field_steps,rollout_steps,convergence_steps,mean_us,p50_us,p95_us,p99_us,target_in_training,target_in_rqm,target_in_cdt,target_in_attractor_bank,forgetting_A,forgetting_B,forgetting_C,checkpoint_hash,field_hash,llm_hash,intra_cosine,inter_cosine,knn_acc,silhouette,stability,verdict,periphery,notes
E15_semantic_without_labels,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),6,6,2,0,factored_compose+manifold_Dphi/TrainableFieldEncoder,true,true,true,false,false,nearest_fp,DYNAMIC_FIELD,1.000000,0.800000,1.000000,1.747543,2.932278,1.184736,0.800000,0.000000,0.208778,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,e99c2aad10742758,2e299fbc3e549876,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.090595,PASS: unseen incompatible combos less stable / farther from manifold,gemma-gguf,E_ok=1.7475 E_bad=2.9323 d_man_ok=0.0988 d_man_bad=0.3076 stab_ok=0.8945 stab_bad=0.8039 structure=3/3 rank_acc=0.800 margin_E=1.1847 arch=factor_compose+Dphi_manifold
E16_field_dynamics,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,3,1,0,TrainableFieldEncoder,true,true,true,true,true,nearest_fp,DYNAMIC_FIELD,1.000000,1.000000,1.000000,68.191146,72.709995,0.000000,1.000000,1.000000,0.546793,0,400,3,0,0.000000,0.000000,0.000000,0.000000,false,true,true,false,0.000000,0.000000,0.000000,89ea99a62041ef35,8bfe2f258fe8c8b3,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi predicts transitions; rollout partial; RQM control separate,gemma-gguf,table_ok=true nn_next=B rqm_direct=1 rqm_compose=3 cdt_pred=1 cos_B=1.000 rollB=1.000 rollC=1.000 rollD=1.000 static_cosAB=0.433 causal_pre=0.453 audit_clean_for_AtoD_train=true
E17_never_observed_states,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),3,2,1,0,TrainableFieldEncoder,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.995380,1.000000,1.000000,0.000000,47.483797,0.000000,0.997976,0.987468,0.010508,0,0,2,0,0.000000,0.000000,0.000000,0.000000,false,true,false,false,0.000000,0.000000,0.000000,28b89b04c1ab490a,c166db02140f0779,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi two-step + ToR approach never-stored A->C (RQM compose flagged separately),gemma-gguf,dist_C=0.0020 dist_B=0.0125 comp_dist=-0.0000 rqm_direct_edge=false rqm_compose_pred=2 audit_train=false audit_rqm_compose=true audit_bank=false valid_unseen=true
E11_trainable_field_encoder,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),13,900,6,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.923077,0.833333,0.750000,57.245389,57.245389,0.000000,0.923077,0.461538,0.914069,0,900,0,900,92.577500,90.214000,115.041000,115.041000,false,false,false,false,0.000000,0.000000,0.000000,e0136eff5371cdea,4779b5ca7ba77574,gemma2-frozen-gguf,0.777489,-0.136580,0.923077,0.804227,0.990677,PASS: trained encoder geometry > random projector,gemma-gguf,raw_margin=0.000 rand_margin=0.033 pre_margin=0.015 post_margin=0.914 raw_knn=0.231 rand_knn=0.462 knn=0.923 para=0.833 sil=0.804 stab=0.991 causal_delta=0.763 loss_end=4.0637 elapsed_ms=275 raw_intra=1.000 raw_inter=1.000
E12_crosslingual_concept,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,6,3,5,gemma_hidden_blockmean/TrainableFieldEncoder+contrastive,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,,,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,SKIPPED_NO_GGUF,none (SKIPPED_NO_GGUF),try_open falló: no se encontró Gemma 2; usa --model RUTA_GGUF o GEMMA2_GGUF
E13_relational_field,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),8,5,3,1,gemma_hidden/TrainableFieldEncoder+hier_proto+Dphi+R,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.800000,1.000000,0.333333,0.000000,52.549637,0.000000,0.800000,0.000000,-0.474751,0,16,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,c94e2b6daeaf7a61,3b787c4ed36ba14d,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.000000,PASS: unseen>=0.66 y dynamic>=static>=table (RQM solo control),gemma-gguf,A_table seen=1.00 un=0.00; B_RQM seen=0.60 un=0.00; C_static seen=0.20 un=0.33; D_dynamic seen=0.80 un=1.00; comp_like=1.00; periphery=gguf-hidden; anti_leak_aguila_servivo=1; holdout=[lobo->animal:1;lobo->mamífero:1;águila->ser-vivo:1]; alpha=0.78; animal_ball=1; tax_ancestors=1
E14_incremental_forgetting,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,4,0,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.012724,-0.000000,-0.002016,c31b8d2b200f6c4b,94c7881f55d4beeb,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: incremental recall retained; adversarial retain>=0.5,gemma-gguf,dR_A=0.013 dR_B=-0.000 dR_C=-0.002 final_acc=1.000 adv_retain_ABC=1.000 curve_A=Some([0.9814242460200537; 0.9989953928525179; 0.9991079615927565; 0.9941477814830343]) curve_B=Some([1.0; 0.9997120106846641; 0.9999999259476052]) local_bias=1
E15_semantic_without_labels,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),6,6,2,0,factored_compose+manifold_Dphi/TrainableFieldEncoder,true,true,true,false,false,nearest_fp,DYNAMIC_FIELD,1.000000,0.800000,1.000000,3.222893,5.125797,1.902904,0.800000,0.000000,0.287361,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,ddd16653ed0c1f71,7c015a953ecd2572,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.280321,PASS: unseen incompatible combos less stable / farther from manifold,gemma-gguf,E_ok=3.2229 E_bad=5.1258 d_man_ok=0.2646 d_man_bad=0.5520 stab_ok=0.5174 stab_bad=0.2371 structure=3/3 rank_acc=0.800 margin_E=1.9029 arch=factor_compose+Dphi_manifold
E16_field_dynamics,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,3,1,0,TrainableFieldEncoder,true,true,true,true,true,nearest_fp,DYNAMIC_FIELD,1.000000,1.000000,1.000000,68.301864,70.448876,0.000000,1.000000,1.000000,0.527658,0,400,3,0,0.000000,0.000000,0.000000,0.000000,false,true,true,false,0.000000,0.000000,0.000000,db2e05347c99d1e7,e3d6159f60411004,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi predicts transitions; rollout partial; RQM control separate,gemma-gguf,table_ok=true nn_next=B rqm_direct=1 rqm_compose=3 cdt_pred=1 cos_B=1.000 rollB=1.000 rollC=1.000 rollD=1.000 static_cosAB=0.465 causal_pre=0.472 audit_clean_for_AtoD_train=true
E17_never_observed_states,c59b9fe,921859,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),3,2,1,0,TrainableFieldEncoder,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.995357,1.000000,1.000000,0.000000,47.090978,0.000000,0.998629,0.990065,0.008563,0,0,2,0,0.000000,0.000000,0.000000,0.000000,false,true,false,false,0.000000,0.000000,0.000000,44000773d8a31fe8,430b99eb8d2a8a9c,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi two-step + ToR approach never-stored A->C (RQM compose flagged separately),gemma-gguf,dist_C=0.0014 dist_B=0.0099 comp_dist=0.0000 rqm_direct_edge=false rqm_compose_pred=2 audit_train=false audit_rqm_compose=true audit_bank=false valid_unseen=true
E11_trainable_field_encoder,c59b9fe,921860,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),13,900,6,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.538462,0.500000,0.500000,51.988268,51.988268,0.000000,0.538462,0.153846,0.166943,0,900,0,900,107.635667,103.889000,132.170000,132.170000,false,false,false,false,0.000000,0.000000,0.000000,57aa74fa3b1708c3,48d63217fbffa56a,gemma2-frozen-gguf,0.654537,0.487593,0.538462,0.325803,0.990535,PARTIAL: geometry improved but not all criteria,gemma-gguf,raw_margin=0.000 rand_margin=-0.005 pre_margin=0.015 post_margin=0.167 raw_knn=0.231 rand_knn=0.154 knn=0.538 para=0.500 sil=0.326 stab=0.991 causal_delta=0.646 loss_end=1.9021 elapsed_ms=277 raw_intra=1.000 raw_inter=1.000
E12_crosslingual_concept,c59b9fe,921860,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,6,3,5,gemma_hidden_blockmean/TrainableFieldEncoder+contrastive,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,,,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,SKIPPED_NO_GGUF,none (SKIPPED_NO_GGUF),try_open falló: no se encontró Gemma 2; usa --model RUTA_GGUF o GEMMA2_GGUF
E13_relational_field,c59b9fe,921860,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),8,5,3,1,gemma_hidden/TrainableFieldEncoder+hier_proto+Dphi+R,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.800000,1.000000,0.333333,0.000000,52.516803,0.000000,0.800000,0.000000,-0.495705,0,16,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,155cd530b0eeee98,d72ef50dea1b7493,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.000000,PASS: unseen>=0.66 y dynamic>=static>=table (RQM solo control),gemma-gguf,A_table seen=1.00 un=0.00; B_RQM seen=0.60 un=0.00; C_static seen=0.20 un=0.33; D_dynamic seen=0.80 un=1.00; comp_like=1.00; periphery=gguf-hidden; anti_leak_aguila_servivo=1; holdout=[lobo->animal:1;lobo->mamífero:1;águila->ser-vivo:1]; alpha=0.78; animal_ball=1; tax_ancestors=1
E14_incremental_forgetting,c59b9fe,921860,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,4,0,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,-0.003632,-0.002250,-0.000065,fb0fff77bfdc12f6,8c63b0603bbf257f,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: incremental recall retained; adversarial retain>=0.5,gemma-gguf,dR_A=-0.004 dR_B=-0.002 dR_C=-0.000 final_acc=1.000 adv_retain_ABC=1.000 curve_A=Some([0.9993784765910171; 0.9989950657000827; 0.9991580608623023; 0.9957469488502628]) curve_B=Some([1.0; 0.9996357028666916; 0.9977503311921173]) local_bias=1
